Species,Age,Breeding_females,Offspring,N.x.female,N.x.male,fertint
Gorilla,16,41.23,12.00,48,36,1
Gorilla,17,38.11,14.61,47,34,1
Gorilla,18,37.12,8.82,41,34,1
Gorilla,19,35.12,12.23,39,28,1
Gorilla,20,33.41,13.96,36,27,1
Gorilla,21,30.92,3.00,34,23,1
Gorilla,22,29.50,7.00,31,19,1
Gorilla,23,28.53,11.96,30,17,1
Gorilla,24,26.39,9.00,29,15,1
Gorilla,25,25.27,3.09,28,14,1
Gorilla,26,26.50,9.88,28,11,1
Gorilla,27,27.18,10.00,28,11,1
Gorilla,28,23.25,6.00,28,9,1
Gorilla,29,18.29,4.00,24,8,1
Gorilla,30,17.00,2.98,21,7,1
Gorilla,31,14.78,3.00,20,6,1
Gorilla,32,14.34,2.00,18,5,1
Gorilla,33,10.08,2.71,15,5,1
Gorilla,34,8.75,2.26,11,4,1
Gorilla,35,9.00,1.00,10,3,1
Gorilla,36,8.85,0.00,10,1,1
Gorilla,37,6.96,3.00,9,1,1
Gorilla,38,5.47,0.00,7,,1
Gorilla,39,5.00,1.00,5,,1
Gorilla,40,6.00,1.00,6,,1
Gorilla,41,6.00,0.00,6,,1
Gorilla,42,3.51,0.00,6,,1
Gorilla,43,1.66,0.00,2,,1
Sifaka,0,143.88,0.00,168,157,0
Sifaka,1,144.15,0.00,162,150,0
Sifaka,2,141.68,1.00,157,149,1
Sifaka,3,137.82,4.15,155,151,1
Sifaka,4,133.79,12.00,147,167,1
Sifaka,5,134.89,30.56,156,168,1
Sifaka,6,120.17,36.38,136,170,1
Sifaka,7,110.08,40.34,118,167,1
Sifaka,8,94.79,43.00,106,163,1
Sifaka,9,97.66,54.84,104,154,1
Sifaka,10,91.47,46.89,101,145,1
Sifaka,11,88.16,48.95,93,128,1
Sifaka,12,84.49,49.72,90,121,1
Sifaka,13,75.05,38.77,85,104,1
Sifaka,14,72.84,37.24,77,87,1
Sifaka,15,69.78,35.71,75,77,1
Sifaka,16,66.69,33.05,70,66,1
Sifaka,17,60.41,28.41,66,55,1
Sifaka,18,54.44,21.50,64,45,1
Sifaka,19,45.52,18.94,53,39,1
Sifaka,20,34.98,18.89,46,21,1
Sifaka,21,31.89,14.08,34,14,1
Sifaka,22,26.05,10.00,29,13,1
Sifaka,23,19.37,9.00,25,8,1
Sifaka,24,16.83,5.75,18,5,1
Sifaka,25,13.25,3.00,16,3,1
Sifaka,26,11.18,4.00,13,2,1
Sifaka,27,10.00,4.00,11,1,1
Sifaka,28,8.08,0.00,10,1,1
Sifaka,29,7.01,0.00,8,1,1
Sifaka,30,5.81,0.00,7,1,1
Sifaka,31,2.00,1.00,3,,1
Sifaka,32,2.00,0.00,2,,1
Sifaka,33,1.00,0.00,2,,1
Sifaka,34,0.00,0.00,1,,1
Capuchin,0,61.15,0.00,77,99,0
Capuchin,1,47.57,0.00,52,68,0
Capuchin,2,42.42,0.00,46,64,0
Capuchin,3,39.93,0.00,43,60,0
Capuchin,4,40.19,0.00,42,50,0
Capuchin,5,35.95,3.83,41,42,1
Capuchin,6,30.22,20.89,37,35,1
Capuchin,7,37.22,11.02,45,25,1
Capuchin,8,36.72,16.73,45,24,1
Capuchin,9,36.56,12.47,39,23,1
Capuchin,10,33.04,15.76,39,29,1
Capuchin,11,25.50,13.16,30,34,1
Capuchin,12,20.87,6.86,25,30,1
Capuchin,13,17.52,6.92,20,30,1
Capuchin,14,13.55,7.66,19,24,1
Capuchin,15,10.40,6.67,12,19,1
Capuchin,16,9.90,5.41,11,18,1
Capuchin,17,9.65,5.32,13,10,1
Capuchin,18,9.58,3.00,10,6,1
Capuchin,19,8.85,4.81,10,3,1
Capuchin,20,5.91,2.00,7,2,1
Capuchin,21,5.25,5.58,6,1,1
Capuchin,22,5.00,1.00,6,1,1
Capuchin,23,2.95,1.33,6,1,1
Capuchin,24,2.00,2.00,2,1,1
Capuchin,25,1.06,0.00,2,,1
Capuchin,26,0.76,0.00,1,,1
